2026-03-17 17:18:12.782547: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-03-17 17:18:12.820640: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-03-17 17:18:13.748162: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
/home/hossein/venv/koala/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/hossein/venv/koala/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/hossein/.netrc.
wandb: Currently logged in as: hossein_abdi (hossein_abdi-the-university-of-manchester) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run fdgiw5wn
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/hossein/code/Policy-Optimization/cleanrl/cleanrl/wandb/run-20260317_171815-fdgiw5wn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO
wandb: ⭐️ View project at https://wandb.ai/hossein_abdi-the-university-of-manchester/Ant-v4%20%281%29
wandb: 🚀 View run at https://wandb.ai/hossein_abdi-the-university-of-manchester/Ant-v4%20%281%29/runs/fdgiw5wn
global_step=95, episodic_return=[-27.66581]
global_step=125, episodic_return=[-16.515259]
global_step=150, episodic_return=[-31.924522]
global_step=255, episodic_return=[-32.724728]
global_step=295, episodic_return=[-36.4985]
global_step=390, episodic_return=[-78.811554]
global_step=440, episodic_return=[-6.605918]
global_step=460, episodic_return=[-48.654057]
global_step=515, episodic_return=[-42.614258]
global_step=575, episodic_return=[-14.691267]
global_step=625, episodic_return=[-112.29391]
global_step=700, episodic_return=[-25.685019]
global_step=770, episodic_return=[-20.689749]
global_step=795, episodic_return=[-56.66113]
global_step=820, episodic_return=[-80.49219]
global_step=955, episodic_return=[-32.087498]
global_step=995, episodic_return=[-150.92467]
global_step=1010, episodic_return=[-67.213104]
global_step=1095, episodic_return=[-12.20221]
global_step=1195, episodic_return=[-27.380322]
global_step=1300, episodic_return=[-78.26168]
global_step=1445, episodic_return=[-49.987144]
global_step=1730, episodic_return=[-66.85502]
global_step=1860, episodic_return=[-37.881855]
global_step=2190, episodic_return=[-53.712658]
global_step=2380, episodic_return=[-160.59367]
global_step=2485, episodic_return=[-50.27701]
global_step=2515, episodic_return=[-66.83918]
global_step=2585, episodic_return=[-16.415993]
global_step=2600, episodic_return=[-12.693133]
global_step=2695, episodic_return=[-17.676144]
global_step=2760, episodic_return=[-5.495498]
global_step=2910, episodic_return=[6.3401475]
global_step=2995, episodic_return=[-5.512813]
global_step=3085, episodic_return=[-14.69038]
global_step=3090, episodic_return=[-103.0853]
global_step=3195, episodic_return=[-7.8066177]
global_step=3340, episodic_return=[-70.4363]
global_step=3420, episodic_return=[-12.832482]
global_step=3425, episodic_return=[-58.179806]
global_step=3705, episodic_return=[-54.20724]
global_step=3720, episodic_return=[-38.64189]
global_step=3780, episodic_return=[-24.659855]
global_step=3820, episodic_return=[-19.072916]
global_step=3900, episodic_return=[-17.421803]
global_step=3940, episodic_return=[-34.878567]
global_step=4155, episodic_return=[-65.9729]
global_step=4215, episodic_return=[-79.70514]
global_step=4290, episodic_return=[-24.25547]
global_step=4345, episodic_return=[-72.499825]
global_step=4410, episodic_return=[-23.505451]
global_step=5000, episodic_return=[-1136.2297]
global_step=5145, episodic_return=[-18.807016]
global_step=5195, episodic_return=[-168.78441]
global_step=5620, episodic_return=[-108.30267]
global_step=5795, episodic_return=[-975.6937]
