2026-03-17 17:18:12.809143: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-03-17 17:18:12.848191: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-03-17 17:18:13.772352: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
/home/hossein/venv/koala/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/hossein/venv/koala/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/hossein/.netrc.
wandb: Currently logged in as: hossein_abdi (hossein_abdi-the-university-of-manchester) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run m0zlnldq
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/hossein/code/Policy-Optimization/cleanrl/cleanrl/wandb/run-20260317_171815-m0zlnldq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run PPO
wandb: ⭐️ View project at https://wandb.ai/hossein_abdi-the-university-of-manchester/Humanoid-v4%20%281%29
wandb: 🚀 View run at https://wandb.ai/hossein_abdi-the-university-of-manchester/Humanoid-v4%20%281%29/runs/m0zlnldq
global_step=85, episodic_return=[81.61348]
global_step=90, episodic_return=[89.079414]
global_step=100, episodic_return=[93.22187]
global_step=115, episodic_return=[113.62489]
global_step=135, episodic_return=[138.21321]
global_step=185, episodic_return=[92.964806]
global_step=185, episodic_return=[97.92389]
global_step=185, episodic_return=[81.396576]
global_step=200, episodic_return=[82.656685]
global_step=225, episodic_return=[86.49898]
global_step=275, episodic_return=[86.25488]
global_step=275, episodic_return=[87.43355]
global_step=280, episodic_return=[92.546684]
global_step=290, episodic_return=[86.76062]
global_step=305, episodic_return=[76.49624]
global_step=365, episodic_return=[86.1298]
global_step=365, episodic_return=[81.25051]
global_step=375, episodic_return=[96.07333]
global_step=375, episodic_return=[81.684395]
global_step=415, episodic_return=[108.50836]
global_step=455, episodic_return=[86.050865]
global_step=460, episodic_return=[81.46671]
global_step=460, episodic_return=[81.979065]
global_step=500, episodic_return=[81.315956]
global_step=525, episodic_return=[163.88849]
global_step=550, episodic_return=[92.700905]
global_step=570, episodic_return=[110.59289]
global_step=605, episodic_return=[101.72678]
global_step=625, episodic_return=[95.47484]
global_step=635, episodic_return=[81.393684]
global_step=660, episodic_return=[86.67821]
global_step=665, episodic_return=[216.41177]
global_step=715, episodic_return=[109.91738]
global_step=725, episodic_return=[99.49556]
global_step=740, episodic_return=[76.511246]
global_step=745, episodic_return=[107.41302]
global_step=765, episodic_return=[98.15193]
global_step=805, episodic_return=[86.94173]
global_step=805, episodic_return=[76.57554]
global_step=830, episodic_return=[86.28199]
global_step=845, episodic_return=[94.86035]
global_step=855, episodic_return=[87.970276]
global_step=900, episodic_return=[93.95698]
global_step=900, episodic_return=[93.3548]
global_step=935, episodic_return=[76.512474]
global_step=940, episodic_return=[92.75565]
global_step=970, episodic_return=[140.48566]
global_step=995, episodic_return=[91.407555]
global_step=995, episodic_return=[91.85511]
global_step=1020, episodic_return=[82.98235]
global_step=1025, episodic_return=[79.99591]
global_step=1055, episodic_return=[81.205505]
global_step=1085, episodic_return=[87.18989]
global_step=1135, episodic_return=[76.74256]
global_step=1145, episodic_return=[115.77749]
global_step=1145, episodic_return=[126.82005]
global_step=1190, episodic_return=[103.09977]
global_step=1210, episodic_return=[209.87201]
global_step=1215, episodic_return=[76.64497]
global_step=1245, episodic_return=[99.46961]
global_step=1275, episodic_return=[130.20709]
global_step=1295, episodic_return=[81.29497]
global_step=1305, episodic_return=[86.45091]
global_step=1325, episodic_return=[76.278564]
global_step=1335, episodic_return=[148.69707]
global_step=1355, episodic_return=[76.36158]
global_step=1385, episodic_return=[86.194695]
global_step=1405, episodic_return=[76.39981]
global_step=1420, episodic_return=[114.4531]
global_step=1425, episodic_return=[86.98979]
global_step=1485, episodic_return=[99.74744]
global_step=1495, episodic_return=[130.71848]
global_step=1505, episodic_return=[81.398705]
global_step=1545, episodic_return=[112.89378]
global_step=1565, episodic_return=[156.59651]
global_step=1565, episodic_return=[76.375]
global_step=1585, episodic_return=[86.43876]
global_step=1585, episodic_return=[76.56964]
global_step=1650, episodic_return=[106.42505]
